,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league
2665,22.0,0.0,0.3,0.5,0.2,1.6,69.0,0.5,0.8,es,0.5,1.2,10.0,0.0,3.0,2.4,0.3,LaLiga,0.3,957.0,0.0,Iván López,0.0,0.5,0.0,107168.0,D(R),69.0,23.3,6.65,0.0,0.5,2.5,175.0,Levante,1.8,0.8,69.0,3.0,4
2688,27.0,5.0,0.6,1.1,0.1,1.9,74.6,0.9,1.1,ve,1.0,1.0,35.0,0.0,0.0,1.9,0.6,LaLiga,0.5,3071.0,2.0,Roberto Rosales,0.0,0.4,0.0,40346.0,D(R),74.6,34.7,6.98,0.0,0.5,3.1,174.0,Malaga,2.5,1.1,70.0,5.0,4
2717,19.0,3.0,0.9,1.6,0.3,2.5,78.7,0.5,1.2,nl,0.7,1.8,29.0,2.0,1.0,2.1,0.9,Eredivisie,0.3,2559.0,1.0,Kevin Diks,0.0,0.2,0.0,232262.0,D(R),78.7,46.1,7.16,0.0,1.0,2.9,182.0,Vitesse,3.3,0.6,70.0,5.0,5
2743,27.0,2.0,0.5,1.5,0.4,3.9,73.8,0.6,0.5,nl,0.8,1.1,33.0,0.0,0.0,2.5,0.5,Eredivisie,0.5,2943.0,1.0,Wout Droste,0.0,0.2,0.0,42980.0,D(R),73.8,36.6,7.05,0.0,0.1,3.0,180.0,Heracles,4.3,0.5,73.0,5.0,5
2754,28.0,1.0,0.3,0.4,0.0,1.0,76.6,0.9,0.1,nl,0.1,0.9,2.0,0.0,5.0,1.3,0.3,Eredivisie,0.7,265.0,0.0,Tim Breukers,0.1,0.0,0.0,35160.0,D(R),76.6,15.9,6.47,0.0,0.0,0.7,178.0,Heracles,1.1,0.4,76.0,0.0,5
2796,20.0,1.0,0.5,0.8,0.3,1.4,85.4,0.8,0.6,nl,0.8,1.3,19.0,0.0,2.0,3.0,0.5,Eredivisie,0.2,1595.0,2.0,Kenny Tete,0.0,0.1,0.0,145996.0,D(R),85.4,42.5,7.19,0.0,0.2,2.9,180.0,Ajax,2.3,0.9,77.0,2.0,5
2810,25.0,0.0,0.3,0.3,0.1,0.9,83.3,0.1,0.1,nl,0.1,0.5,2.0,0.0,10.0,0.9,0.3,Eredivisie,0.3,372.0,0.0,Ricardo van Rhijn,0.1,0.1,0.0,109109.0,D(R),83.3,16.5,6.44,0.0,0.5,1.0,179.0,Ajax,1.5,0.2,72.0,0.0,5
2827,22.0,2.0,0.7,0.4,0.3,2.7,78.4,0.6,0.5,gb,0.5,1.1,29.0,1.0,2.0,1.7,0.7,Eredivisie,0.8,2620.0,0.0,Todd Kane,0.1,0.2,0.0,121979.0,D(R),78.4,35.3,6.75,0.0,0.5,1.5,180.0,NEC Nijmegen,3.3,0.6,70.0,9.0,5
2872,31.0,1.0,0.5,0.9,0.3,3.3,72.6,0.7,0.9,nl,0.5,1.7,30.0,0.0,0.0,3.7,0.5,Eredivisie,0.5,2681.0,0.0,Frank van der Struijk,0.1,0.1,1.0,19923.0,D(R),72.6,37.0,6.68,1.0,0.2,2.0,181.0,Willem II,3.8,0.6,75.0,7.0,5
2893,20.0,1.0,1.2,3.4,0.2,5.2,71.0,1.0,1.2,nl,1.2,0.8,5.0,0.0,0.0,3.4,1.2,Eredivisie,1.6,392.0,0.0,Bart Nieuwkoop,0.0,0.4,0.0,297527.0,D(R),71.0,40.0,7.27,0.0,1.0,1.8,180.0,Feyenoord,4.0,1.0,72.0,0.0,5
