,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
151,23.0,2.0,0.5,2.4,0.0,0.4,75.6,1.5,0.3,2.9,2.4,5.0,0.4,0.5,Bundesliga,0.0,Jhon Córdoba,1.4,0.0,0.0,FW,75.6,0.0,1.4,0.5,188.0,Mainz 05,0.3,2.7,85.0,2.0
179,23.0,1.0,0.5,1.2,0.0,0.1,69.9,0.9,0.2,0.8,1.7,4.0,0.3,0.5,Bundesliga,0.0,Luc Castaignos,1.0,0.0,0.0,FW,69.9,0.0,0.9,0.4,188.0,Eintracht Frankfurt,0.2,0.8,78.0,1.0
201,25.0,2.0,0.8,4.3,0.1,1.4,60.2,0.8,0.2,1.1,1.3,11.0,0.1,0.8,Bundesliga,0.0,Anthony Ujah,0.7,0.0,0.0,FW,60.2,0.0,2.1,0.4,179.0,Werder Bremen,0.2,1.5,81.0,2.0
205,25.0,0.0,1.3,0.5,0.2,0.0,74.8,1.0,0.3,1.0,2.2,2.0,0.5,1.3,Bundesliga,0.5,Aron Jóhannsson,0.7,0.0,0.0,FW,74.8,0.0,2.3,0.8,184.0,Werder Bremen,0.7,1.2,70.0,0.0
225,28.0,4.0,0.9,7.3,0.2,1.5,50.4,1.5,0.5,2.3,3.0,14.0,0.4,0.9,Bundesliga,0.1,Sandro Wagner,0.5,0.0,0.0,FW,50.4,1.0,2.7,1.0,194.0,Darmstadt,0.8,2.2,90.0,8.0
241,30.0,1.0,0.3,2.9,0.2,0.4,54.9,0.4,0.1,0.7,0.7,0.0,0.1,0.3,Bundesliga,0.0,Dominik Stroh-Engel,0.1,0.1,0.0,FW,54.9,0.0,0.4,0.1,195.0,Darmstadt,0.1,0.5,91.0,0.0
263,24.0,2.0,0.6,2.8,0.1,1.1,69.0,1.1,0.5,1.0,1.7,8.0,0.1,0.6,Bundesliga,0.0,Pierre-Michel Lasogga,0.6,0.0,0.0,FW,69.0,0.0,1.8,0.3,189.0,Hamburger SV,0.4,1.3,88.0,5.0
268,28.0,1.0,0.4,1.9,0.2,0.8,60.4,0.7,0.1,0.5,1.2,2.0,0.1,0.4,Bundesliga,0.1,Artjoms Rudnevs,0.6,0.0,0.0,FW,60.4,0.0,1.4,0.4,183.0,Hamburger SV,0.4,1.9,81.0,1.0
269,27.0,4.0,0.7,1.9,0.1,0.7,65.1,0.3,0.5,1.2,1.6,0.0,0.5,0.7,Bundesliga,0.0,Sven Schipplock,0.2,0.0,0.0,FW,65.1,0.0,0.6,0.6,186.0,Hamburger SV,0.1,1.1,84.0,3.0
275,25.0,1.0,1.7,6.1,0.0,0.7,61.1,1.9,0.6,2.3,1.6,3.0,0.3,1.7,Bundesliga,0.0,Daniel Ginczek,0.7,0.0,0.0,FW,61.1,0.0,2.6,0.6,190.0,VfB Stuttgart,0.1,1.9,87.0,1.0
294,27.0,2.0,0.5,2.1,0.1,0.3,71.1,0.7,0.2,0.4,0.9,1.0,0.1,0.5,Bundesliga,0.0,Artem Kravets,0.2,0.0,0.0,FW,71.1,0.0,1.1,0.3,189.0,VfB Stuttgart,0.0,1.2,78.0,1.0
311,32.0,3.0,0.5,7.0,0.0,0.8,60.0,1.8,0.7,2.2,1.5,5.0,0.5,0.5,Bundesliga,0.0,Stefan Kießling,0.5,0.0,0.0,FW,60.0,0.0,1.4,1.1,191.0,Bayer Leverkusen,0.2,1.3,82.0,1.0
313,28.0,2.0,1.0,1.2,0.0,0.2,74.2,1.1,0.2,1.9,0.9,17.0,0.3,1.0,Bundesliga,0.1,Chicharito,1.3,0.0,0.0,FW,74.2,0.0,2.3,0.5,175.0,Bayer Leverkusen,0.3,1.9,73.0,6.0
335,28.0,3.0,0.6,5.7,0.1,1.1,59.6,0.8,0.3,2.1,1.3,15.0,0.3,0.6,Bundesliga,0.0,Anthony Modeste,1.7,0.0,0.0,FW,59.6,0.0,3.2,0.2,187.0,FC Cologne,0.2,2.4,84.0,4.0
352,27.0,0.0,0.3,0.6,0.0,0.2,71.0,0.7,0.3,0.7,0.5,1.0,0.0,0.3,Bundesliga,0.0,Philipp Hosiner,0.1,0.0,0.0,FW,71.0,0.0,0.9,0.6,179.0,FC Cologne,0.1,0.8,79.0,2.0
381,23.0,0.0,0.0,0.2,0.0,0.0,77.5,0.3,0.1,0.3,0.3,0.0,0.1,0.0,Bundesliga,0.0,Branimir Hrgota,0.3,0.0,0.0,FW,77.5,0.0,0.2,0.0,185.0,Borussia M.Gladbach,0.0,0.3,74.0,0.0
385,25.0,2.0,0.6,0.7,0.0,0.0,75.9,1.2,0.3,0.9,0.7,5.0,0.5,0.6,Bundesliga,0.4,Andrej Kramaric,0.2,0.0,0.0,FW,75.9,1.0,2.8,0.3,177.0,Hoffenheim,0.5,1.4,73.0,0.0
402,34.0,0.0,0.3,1.9,0.1,0.6,57.8,0.7,0.3,0.6,1.1,0.0,0.4,0.3,Bundesliga,0.1,Kevin Kurányi,0.6,0.0,0.0,FW,57.8,0.0,0.6,0.6,190.0,Hoffenheim,0.2,0.7,88.0,0.0
405,28.0,0.0,0.5,1.5,0.0,0.3,66.7,0.3,0.0,0.5,1.0,0.0,0.3,0.5,Bundesliga,0.0,Ádám Szalai,0.3,0.0,0.0,FW,66.7,0.0,1.0,0.0,193.0,Hoffenheim,0.0,0.8,91.0,0.0
407,19.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bundesliga,0.0,Joelinton,0.0,0.0,0.0,FW,50.0,0.0,2.0,0.0,186.0,Hoffenheim,0.0,0.0,76.0,0.0
